50.000000,0.300000,0.700000,4664.599383,715.000000,12623.896000,7097.596000,2244.000000,3282.300000,596.000000,7621.947000,874.347000,2096.100000,4651.500000,556.000000,12634.817000,7099.517000,2244.600000,3290.700000,608.000000
100.000000,0.600000,1.400000,8947.085927,542.000000,22131.288000,12018.488000,4729.800000,5383.000000,562.000000,15506.578000,2973.778000,4183.200000,8349.600000,555.000000,22147.541000,12017.941000,4729.800000,5399.800000,583.000000
150.000000,0.900000,2.100000,12959.612493,515.000000,31107.734000,17235.434000,7209.000000,6663.300000,532.000000,22794.207000,4996.107000,6258.600000,11539.500000,517.000000,31131.310000,17233.810000,7209.000000,6688.500000,541.000000
200.000000,1.200000,2.800000,16768.595913,515.000000,39118.316000,21875.116000,9663.600000,7579.600000,540.000000,29756.095000,7130.895000,8308.800000,14316.400000,513.000000,39150.683000,21874.283000,9666.000000,7610.400000,537.000000
250.000000,1.500000,3.500000,20412.169611,534.000000,46185.601000,25894.101000,12105.000000,8186.500000,528.000000,36411.123000,9121.623000,10342.500000,16947.000000,510.000000,46223.020000,25889.520000,12105.000000,8228.500000,541.000000
300.000000,1.800000,4.200000,23905.709591,539.000000,52978.811000,29802.611000,14436.000000,8740.200000,529.000000,42803.360000,11267.360000,12346.200000,19189.800000,516.000000,53021.857000,29795.257000,14436.000000,8790.600000,532.000000
350.000000,2.100000,4.900000,27271.327350,549.000000,59108.975000,33236.275000,16812.600000,9060.100000,556.000000,48945.039000,13307.339000,14347.200000,21290.500000,534.000000,59167.551000,33231.851000,16816.800000,9118.900000,551.000000
400.000000,2.400000,5.600000,30512.815169,552.000000,65063.796000,36629.396000,18931.200000,9503.200000,543.000000,54926.939000,15350.139000,16303.200000,23273.600000,526.000000,65131.619000,36625.219000,18936.000000,9570.400000,548.000000
450.000000,2.700000,6.300000,33646.965871,553.000000,71100.015000,40374.915000,21111.300000,9613.800000,543.000000,60940.599000,17322.099000,18254.700000,25363.800000,528.000000,71163.169000,40363.369000,21116.700000,9683.100000,543.000000
500.000000,3.000000,7.000000,36688.601589,555.000000,76565.829000,43423.829000,23097.000000,10045.000000,536.000000,66533.696000,19384.696000,20199.000000,26950.000000,532.000000,76645.699000,43417.699000,23106.000000,10122.000000,547.000000
550.000000,3.300000,7.700000,39646.439450,543.000000,81852.233000,46265.033000,25215.300000,10371.900000,544.000000,72019.843000,21327.443000,22156.200000,28536.200000,519.000000,81931.500000,46251.900000,25215.300000,10464.300000,549.000000
600.000000,3.600000,8.400000,42529.780250,577.000000,87253.282000,49335.682000,27190.800000,10726.800000,540.000000,77444.220000,23411.820000,24094.800000,29937.600000,523.000000,87336.763000,49318.363000,27190.800000,10827.600000,549.000000
650.000000,3.900000,9.100000,45336.913351,566.000000,92797.858000,52629.158000,29230.500000,10938.200000,542.000000,82773.905000,25399.705000,26024.700000,31349.500000,517.000000,92886.955000,52609.055000,29230.500000,11047.400000,554.000000
700.000000,4.200000,9.800000,48073.939980,569.000000,97658.146000,55326.346000,31101.000000,11230.800000,542.000000,87865.346000,27444.146000,27934.200000,32487.000000,538.000000,97750.209000,55300.809000,31101.000000,11348.400000,541.000000
750.000000,4.500000,10.500000,50749.751680,567.000000,102627.203000,57981.203000,32980.500000,11665.500000,542.000000,92848.170000,29383.170000,29812.500000,33652.500000,523.000000,102725.561000,57953.561000,32980.500000,11791.500000,546.000000
800.000000,4.800000,11.200000,53367.369632,576.000000,107440.840000,60605.640000,34896.000000,11939.200000,542.000000,97626.109000,31334.909000,31660.800000,34630.400000,522.000000,107557.275000,60582.875000,34900.800000,12073.600000,551.000000
850.000000,5.100000,11.900000,55934.867939,577.000000,112267.596000,63125.696000,36801.600000,12340.300000,538.000000,102247.673000,33324.573000,33532.500000,35390.600000,531.000000,112399.079000,63109.279000,36806.700000,12483.100000,549.000000
900.000000,5.400000,12.600000,58447.636720,579.000000,117395.165000,66104.165000,38653.200000,12637.800000,536.000000,106947.582000,35352.582000,35370.000000,36225.000000,537.000000,117524.514000,66076.914000,38658.600000,12789.000000,547.000000
950.000000,5.700000,13.300000,60920.213999,595.000000,122219.530000,68654.730000,40544.100000,13020.700000,537.000000,111686.984000,37279.184000,37260.900000,37146.900000,528.000000,122347.693000,68617.593000,40549.800000,13180.300000,555.000000
1000.000000,6.000000,14.000000,63351.322348,582.000000,126927.335000,71115.335000,42372.000000,13440.000000,536.000000,116237.700000,39179.700000,39132.000000,37926.000000,525.000000,127052.170000,71072.170000,42372.000000,13608.000000,586.000000
