100.000000,10.000000,40.000000,108945.987630,842.000000,191254.393000,109804.393000,66530.000000,14920.000000,634.000000,204187.705000,64887.705000,62860.000000,76440.000000,623.000000,191635.494000,109735.494000,66540.000000,15360.000000,653.000000,138975.092200,0.000000
150.000000,15.000000,60.000000,147633.164281,704.000000,254619.798000,142704.798000,96615.000000,15300.000000,600.000000,272104.144000,95809.144000,90975.000000,85320.000000,609.000000,255136.065000,142501.065000,96675.000000,15960.000000,660.000000,173495.092200,0.000000
200.000000,20.000000,80.000000,177092.511069,633.000000,307320.446000,169860.446000,119780.000000,17680.000000,568.000000,338645.141000,125665.141000,117620.000000,95360.000000,556.000000,308001.735000,169461.735000,119900.000000,18640.000000,585.000000,208015.092200,0.000000
250.000000,25.000000,100.000000,202748.021839,608.000000,365236.985000,198211.985000,144725.000000,22300.000000,563.000000,401780.703000,154655.703000,143325.000000,103800.000000,543.000000,366064.433000,197714.433000,144950.000000,23400.000000,566.000000,242535.092200,0.000000
300.000000,30.000000,120.000000,226810.922361,550.000000,404725.886000,227635.886000,173130.000000,3960.000000,568.000000,465469.597000,182929.597000,166980.000000,115560.000000,541.000000,405679.433000,226879.433000,173400.000000,5400.000000,587.000000,277055.092200,0.000000
350.000000,35.000000,140.000000,249561.324219,550.000000,456938.443000,254813.443000,194285.000000,7840.000000,565.000000,528883.496000,210418.496000,189945.000000,128520.000000,548.000000,458117.177000,253927.177000,194670.000000,9520.000000,574.000000,311575.092200,0.000000
400.000000,40.000000,160.000000,271296.162112,615.000000,497267.651000,279547.651000,212600.000000,5120.000000,570.000000,586942.720000,237062.720000,210200.000000,139680.000000,553.000000,498526.119000,278446.119000,213040.000000,7040.000000,564.000000,346095.092200,0.000000
450.000000,45.000000,180.000000,292186.611982,617.000000,544847.340000,304862.340000,231885.000000,8100.000000,563.000000,646814.019000,263144.019000,230490.000000,153180.000000,580.000000,546280.779000,303505.779000,232515.000000,10260.000000,597.000000,380615.092200,0.000000
500.000000,50.000000,200.000000,312416.968253,616.000000,585148.940000,328698.940000,253450.000000,3000.000000,566.000000,693212.079000,288412.079000,249800.000000,155000.000000,554.000000,586597.249000,326897.249000,254300.000000,5400.000000,594.000000,415135.092200,0.000000
550.000000,55.000000,220.000000,332036.830866,614.000000,625300.833000,350850.833000,272470.000000,1980.000000,569.000000,722106.070000,313126.070000,268620.000000,140360.000000,553.000000,626845.774000,348710.774000,273515.000000,4620.000000,605.000000,449655.092200,0.000000
600.000000,60.000000,240.000000,351167.942987,614.000000,661673.792000,372293.792000,288180.000000,1200.000000,569.000000,748472.344000,337172.344000,285300.000000,126000.000000,548.000000,663098.934000,369698.934000,289320.000000,4080.000000,576.000000,484175.092200,0.000000
650.000000,65.000000,260.000000,369725.681406,615.000000,701063.708000,395238.708000,304525.000000,1300.000000,571.000000,787416.032000,360691.032000,301405.000000,125320.000000,554.000000,702649.142000,392209.142000,306020.000000,4420.000000,609.000000,518695.092200,0.000000
700.000000,70.000000,280.000000,387798.728373,616.000000,737371.349000,416701.349000,319550.000000,1120.000000,569.000000,819218.688000,383608.688000,316890.000000,118720.000000,562.000000,738885.233000,413175.233000,321230.000000,4480.000000,597.000000,553215.092200,0.000000
750.000000,75.000000,300.000000,405359.364294,615.000000,769713.508000,434238.508000,334575.000000,900.000000,578.000000,840872.057000,405947.057000,332925.000000,102000.000000,572.000000,771516.976000,430341.976000,336675.000000,4500.000000,575.000000,587735.092200,0.000000
800.000000,80.000000,320.000000,422418.660781,640.000000,797160.271000,451480.271000,344720.000000,960.000000,569.000000,852954.681000,427834.681000,343840.000000,81280.000000,569.000000,799388.567000,447388.567000,347200.000000,4800.000000,581.000000,622255.092200,0.000000
850.000000,85.000000,340.000000,438957.969040,615.000000,827982.701000,469877.701000,357425.000000,680.000000,578.000000,876778.046000,449058.046000,356660.000000,71060.000000,558.000000,830551.863000,465391.863000,360400.000000,4760.000000,574.000000,656775.092200,0.000000
900.000000,90.000000,360.000000,455082.856190,641.000000,854353.397000,486073.397000,367920.000000,360.000000,595.000000,891038.743000,469838.743000,367200.000000,54000.000000,569.000000,857146.243000,481126.243000,371340.000000,4680.000000,573.000000,691295.092200,0.000000
950.000000,95.000000,380.000000,470795.472581,629.000000,883492.094000,503682.094000,379430.000000,380.000000,577.000000,916820.676000,489985.676000,379335.000000,47500.000000,562.000000,886355.938000,498280.938000,383135.000000,4940.000000,592.000000,725815.092200,0.000000
1000.000000,100.000000,400.000000,486177.283882,615.000000,913939.232000,522439.232000,391100.000000,400.000000,606.000000,942962.266000,509762.266000,390800.000000,42400.000000,564.000000,916899.004000,516599.004000,395100.000000,5200.000000,584.000000,760335.092200,0.000000
